County,Population,Firearm Homicide,Total Homicide,Firearm Suicides,Total Suicides
"Dallas County, AR",83322.0,,10.0,,11.0
"Dallas County, IA",892067.0,,11.0,48.0,99.0
"Dallas County, TX",27892658.0,1753.0,2263.0,1571.0,2933.0
"Dane County, WI",5746705.0,59.0,102.0,294.0,730.0
"Danville city, VA",459970.0,71.0,89.0,45.0,69.0
"Darlington County, SC",742829.0,86.0,101.0,81.0,106.0
"Dauphin County, PA",3006802.0,159.0,201.0,189.0,386.0
"Davidson County, NC",1814798.0,47.0,61.0,172.0,286.0
"Davidson County, TN",7372849.0,650.0,791.0,508.0,966.0
"Davie County, NC",462300.0,,10.0,50.0,82.0
"Daviess County, IN",359817.0,,11.0,16.0,35.0
"Daviess County, KY",1092130.0,20.0,34.0,125.0,209.0
"Davis County, UT",3678272.0,26.0,46.0,277.0,589.0
"De Soto Parish, LA",298746.0,19.0,25.0,35.0,42.0
"DeKalb County, AL",783845.0,22.0,37.0,103.0,153.0
"DeKalb County, GA",8040685.0,868.0,1024.0,403.0,722.0
"DeKalb County, IL",1151954.0,10.0,17.0,50.0,120.0
"DeKalb County, TN",214770.0,,11.0,30.0,45.0
"DeSoto County, FL",396127.0,12.0,24.0,40.0,66.0
"DeSoto County, MS",1913598.0,99.0,126.0,196.0,272.0
"Dearborn County, IN",546778.0,11.0,19.0,54.0,103.0
"Decatur County, GA",297772.0,17.0,26.0,38.0,50.0
"Decatur County, IN",290320.0,,14.0,23.0,41.0
"Deer Lodge County, MT",101108.0,,12.0,33.0,45.0
"Del Norte County, CA",306516.0,12.0,28.0,43.0,69.0
"Delaware County, IN",1277253.0,37.0,54.0,102.0,189.0
"Delaware County, OH",2125205.0,12.0,19.0,94.0,209.0
"Delaware County, OK",461921.0,18.0,22.0,62.0,94.0
"Delaware County, PA",6194747.0,384.0,455.0,268.0,843.0
"Delta County, CO",336359.0,,14.0,67.0,100.0
"Dent County, MO",171320.0,,10.0,20.0,32.0
"Denton County, TX",8627083.0,107.0,154.0,538.0,916.0
"Denver County, CO",7427215.0,345.0,498.0,517.0,1333.0
"Des Moines County, IA",437593.0,16.0,24.0,43.0,82.0
"Deschutes County, OR",1951597.0,22.0,38.0,226.0,402.0
"Desha County, AR",132673.0,12.0,19.0,12.0,17.0
"Dickson County, TN",569249.0,21.0,32.0,79.0,123.0
"Dillingham Census Area, AK",54486.0,,10.0,14.0,20.0
"Dillon County, SC",341825.0,66.0,79.0,30.0,35.0
"Dinwiddie County, VA",309641.0,15.0,20.0,34.0,52.0
"District of Columbia, DC",7325774.0,1038.0,1344.0,104.0,462.0
"Dixie County, FL",180640.0,12.0,21.0,26.0,39.0
"Dodge County, GA",231153.0,14.0,19.0,20.0,32.0
"Dona Ana County, NM",2365472.0,58.0,105.0,228.0,398.0
"Dooly County, GA",154120.0,10.0,11.0,12.0,17.0
"Dorchester County, MD",355631.0,15.0,23.0,33.0,49.0
"Dorchester County, SC",1665709.0,87.0,109.0,141.0,255.0
"Dougherty County, GA",1005757.0,102.0,137.0,74.0,102.0
"Douglas County, CO",3537446.0,27.0,41.0,294.0,564.0
"Douglas County, GA",1541385.0,53.0,76.0,113.0,192.0
"Douglas County, KS",1291319.0,13.0,26.0,85.0,180.0
"Douglas County, NE",6032954.0,315.0,408.0,317.0,691.0
"Douglas County, NV",526032.0,11.0,15.0,76.0,125.0
"Douglas County, OR",1194407.0,39.0,63.0,198.0,331.0
"Douglas County, WA",449729.0,,13.0,32.0,54.0
"Douglas County, WI",480088.0,,10.0,39.0,81.0
"Drew County, AR",203626.0,16.0,22.0,19.0,30.0
