County,Population,Firearm Homicide,Total Homicide,Firearm Suicides,Total Suicides
"Litchfield County, CT",2027568.0,16.0,29.0,103.0,282.0
"Livingston County, IL",409109.0,14.0,15.0,20.0,56.0
"Livingston County, MI",2056711.0,,18.0,152.0,309.0
"Livingston Parish, LA",1500270.0,70.0,95.0,189.0,271.0
"Logan County, AR",240507.0,,11.0,32.0,59.0
"Logan County, CO",244695.0,,15.0,30.0,48.0
"Logan County, KY",296086.0,,10.0,33.0,45.0
"Logan County, OH",500240.0,,14.0,42.0,93.0
"Logan County, OK",501158.0,11.0,22.0,53.0,85.0
"Logan County, WV",378349.0,19.0,31.0,38.0,68.0
"Lonoke County, AR",787504.0,24.0,38.0,85.0,142.0
"Lorain County, OH",3362393.0,92.0,128.0,232.0,498.0
"Los Angeles County, CA",110363608.0,4898.0,6519.0,3132.0,9172.0
"Loudon County, TN",565573.0,10.0,12.0,41.0,86.0
"Loudoun County, VA",4090169.0,20.0,33.0,201.0,414.0
"Louisa County, VA",386470.0,17.0,17.0,48.0,64.0
"Lowndes County, AL",114819.0,29.0,33.0,11.0,12.0
"Lowndes County, GA",1257086.0,62.0,85.0,91.0,144.0
"Lowndes County, MS",653104.0,52.0,58.0,55.0,82.0
"Lubbock County, TX",3272367.0,116.0,186.0,274.0,509.0
"Lucas County, OH",4775102.0,297.0,392.0,329.0,670.0
"Lumpkin County, GA",349179.0,,10.0,60.0,84.0
"Luna County, NM",269372.0,13.0,17.0,49.0,65.0
"Luzerne County, PA",3505748.0,81.0,132.0,345.0,635.0
"Lycoming County, PA",1268597.0,25.0,86.0,101.0,199.0
"Lynchburg city, VA",873120.0,28.0,38.0,53.0,102.0
"Lyon County, NV",590047.0,24.0,32.0,115.0,171.0
"Macomb County, MI",9468854.0,278.0,397.0,643.0,1389.0
"Macon County, AL",213507.0,66.0,73.0,14.0,20.0
"Macon County, GA",150407.0,10.0,21.0,13.0,20.0
"Macon County, IL",1180638.0,64.0,90.0,60.0,137.0
"Macon County, NC",380043.0,12.0,16.0,53.0,78.0
"Macon County, TN",257335.0,11.0,13.0,41.0,65.0
"Macoupin County, IL",508221.0,,13.0,39.0,72.0
"Madera County, CA",1702290.0,70.0,107.0,95.0,220.0
"Madison County, AL",3905176.0,204.0,281.0,403.0,627.0
"Madison County, FL",205302.0,12.0,16.0,15.0,25.0
"Madison County, IL",2926867.0,83.0,119.0,193.0,442.0
"Madison County, IN",1431178.0,41.0,62.0,137.0,274.0
"Madison County, KY",973037.0,20.0,39.0,92.0,142.0
"Madison County, MS",1124682.0,80.0,99.0,95.0,133.0
"Madison County, TN",1078981.0,98.0,130.0,78.0,136.0
"Madison Parish, LA",127126.0,22.0,25.0,,13.0
"Mahoning County, OH",2554415.0,220.0,266.0,193.0,352.0
"Malheur County, OR",337427.0,,16.0,34.0,58.0
"Manassas city, VA",449855.0,,12.0,22.0,43.0
"Manatee County, FL",4011877.0,180.0,230.0,383.0,720.0
"Manitowoc County, WI",879232.0,10.0,17.0,73.0,158.0
"Marathon County, WI",1488310.0,10.0,19.0,101.0,208.0
"Marengo County, AL",218123.0,20.0,23.0,21.0,26.0
"Maricopa County, AZ",45929429.0,1964.0,2645.0,4164.0,7285.0
"Marin County, CA",2841275.0,28.0,49.0,135.0,443.0
"Marion County, AL",331545.0,10.0,14.0,48.0,66.0
"Marion County, FL",3821177.0,193.0,260.0,493.0,810.0
"Marion County, IL",421110.0,,17.0,43.0,101.0
"Marion County, IN",10311956.0,1415.0,1673.0,789.0,1505.0
"Marion County, KY",215900.0,13.0,15.0,22.0,38.0
"Marion County, MS",281999.0,31.0,43.0,27.0,36.0
"Marion County, OH",721163.0,,20.0,65.0,113.0
"Marion County, OR",3656108.0,66.0,96.0,293.0,566.0
"Marion County, SC",348990.0,35.0,46.0,34.0,45.0
"Marion County, TN",313296.0,,14.0,37.0,56.0
"Marion County, TX",111874.0,,11.0,17.0,29.0
"Marion County, WV",621284.0,23.0,27.0,68.0,100.0
"Marlboro County, SC",300875.0,40.0,57.0,27.0,43.0
"Marquette County, MI",737254.0,,14.0,71.0,130.0
"Marshall County, AL",1046660.0,23.0,37.0,116.0,175.0
"Marshall County, IA",444536.0,,10.0,30.0,49.0
"Marshall County, IN",513866.0,,11.0,43.0,81.0
"Marshall County, KY",343462.0,,10.0,57.0,89.0
"Marshall County, MS",396673.0,45.0,53.0,40.0,62.0
"Marshall County, TN",354252.0,,15.0,47.0,69.0
"Martin County, FL",1706192.0,35.0,54.0,175.0,333.0
"Martin County, KY",132917.0,,10.0,12.0,16.0
"Martin County, NC",256406.0,10.0,17.0,24.0,33.0
"Martinsville city, VA",146622.0,17.0,20.0,19.0,27.0
"Mason County, WA",691188.0,23.0,34.0,92.0,153.0
"Mason County, WV",296175.0,12.0,13.0,35.0,46.0
"Matagorda County, TX",403886.0,22.0,32.0,40.0,62.0
"Matanuska-Susitna Borough, AK",1106072.0,55.0,70.0,172.0,237.0
"Maui County, HI",1791764.0,,28.0,61.0,315.0
"Maury County, TN",973949.0,40.0,52.0,102.0,153.0
"Maverick County, TX",627175.0,11.0,18.0,14.0,33.0
"Mayes County, OK",451523.0,14.0,19.0,71.0,108.0
"McClain County, OK",417076.0,,14.0,54.0,82.0
"McCormick County, SC",107201.0,,10.0,11.0,17.0
"McCracken County, KY",719640.0,14.0,30.0,94.0,162.0
"McCurtain County, OK",362649.0,29.0,40.0,62.0,91.0
"McDonald County, MO",251200.0,,11.0,26.0,42.0
"McDowell County, NC",497292.0,25.0,27.0,61.0,88.0
"McDowell County, WV",216687.0,24.0,37.0,49.0,75.0
"McDuffie County, GA",236679.0,25.0,29.0,28.0,34.0
"McHenry County, IL",3386242.0,19.0,36.0,147.0,391.0
"McIntosh County, GA",155670.0,,11.0,14.0,24.0
"McIntosh County, OK",220370.0,12.0,16.0,32.0,50.0
"McKinley County, NM",804254.0,35.0,126.0,39.0,219.0
"McLean County, IL",1894592.0,21.0,40.0,75.0,223.0
"McLennan County, TX",2712923.0,92.0,130.0,203.0,349.0
"McMinn County, TN",581810.0,22.0,35.0,68.0,111.0
"Meade County, KY",315857.0,11.0,13.0,35.0,60.0
"Meade County, SD",299096.0,,10.0,44.0,68.0
"Mecklenburg County, NC",11335492.0,685.0,841.0,535.0,1106.0
"Mecklenburg County, VA",344291.0,17.0,21.0,37.0,57.0
"Medina County, OH",1942013.0,16.0,25.0,130.0,252.0
"Medina County, TX",537060.0,16.0,21.0,41.0,65.0
"Meigs County, OH",256023.0,,10.0,40.0,59.0
"Meigs County, TN",131701.0,,10.0,15.0,27.0
"Mendocino County, CA",961594.0,28.0,56.0,113.0,224.0
"Merced County, CA",2949074.0,179.0,240.0,94.0,288.0
"Mercer County, NJ",4065464.0,240.0,304.0,72.0,305.0
"Mercer County, PA",1246126.0,30.0,42.0,119.0,198.0
"Mercer County, WV",668553.0,38.0,56.0,107.0,159.0
"Meriwether County, GA",234024.0,23.0,28.0,20.0,31.0
"Merrimack County, NH",1634742.0,,18.0,123.0,297.0
"Mesa County, CO",1650695.0,48.0,80.0,270.0,473.0
"Miami County, KS",365000.0,,11.0,41.0,70.0
"Miami County, OH",1150512.0,,16.0,88.0,158.0
"Miami-Dade County, FL",29265968.0,2004.0,2433.0,1150.0,2703.0
"Middlesex County, CT",1805403.0,14.0,28.0,70.0,237.0
"Middlesex County, MA",17295240.0,82.0,188.0,236.0,1472.0
"Middlesex County, NJ",9110586.0,95.0,162.0,137.0,672.0
"Midland County, MI",919171.0,,11.0,63.0,108.0
"Midland County, TX",1747087.0,60.0,82.0,171.0,264.0
"Milam County, TX",271135.0,,12.0,26.0,48.0
"Miller County, AR",479390.0,25.0,36.0,57.0,79.0
"Milwaukee County, WI",10468112.0,1146.0,1409.0,535.0,1234.0
"Mingo County, WV",275347.0,13.0,21.0,26.0,46.0
"Minnehaha County, SD",2022579.0,30.0,72.0,160.0,360.0
"Mississippi County, AR",477696.0,100.0,112.0,40.0,74.0
"Mississippi County, MO",152128.0,15.0,18.0,14.0,21.0
"Missoula County, MT",1262678.0,18.0,33.0,190.0,298.0
"Mitchell County, GA",248902.0,16.0,19.0,19.0,30.0
"Mobile County, AL",4552576.0,572.0,683.0,436.0,691.0
"Modoc County, CA",99700.0,10.0,14.0,10.0,21.0
"Mohave County, AZ",2268385.0,71.0,121.0,481.0,784.0
"Monmouth County, NJ",6889177.0,60.0,115.0,139.0,618.0
"Monongalia County, WV",1133525.0,22.0,26.0,91.0,135.0
"Monroe County, AL",239402.0,22.0,30.0,22.0,29.0
"Monroe County, AR",81154.0,,12.0,12.0,13.0
"Monroe County, FL",831986.0,16.0,38.0,133.0,246.0
"Monroe County, GA",298383.0,15.0,21.0,51.0,58.0
"Monroe County, IN",1584773.0,26.0,43.0,97.0,215.0
"Monroe County, KY",117937.0,,10.0,12.0,15.0
"Monroe County, MI",1654761.0,11.0,25.0,141.0,255.0
"Monroe County, MS",395666.0,16.0,27.0,48.0,62.0
"Monroe County, NY",8207358.0,319.0,480.0,251.0,813.0
"Monroe County, PA",1852457.0,41.0,58.0,163.0,296.0
"Monroe County, TN",503092.0,13.0,19.0,61.0,98.0
"Monroe County, WI",501183.0,,11.0,35.0,68.0
"Monroe County, WV",147626.0,,11.0,18.0,20.0
"Montcalm County, MI",696423.0,,16.0,68.0,118.0
"Monterey County, CA",4731485.0,339.0,426.0,171.0,446.0
"Montezuma County, CO",285878.0,,12.0,58.0,110.0
"Montgomery County, AL",2500794.0,424.0,488.0,187.0,266.0
"Montgomery County, IN",421017.0,,14.0,42.0,70.0
"Montgomery County, KS",367265.0,14.0,19.0,48.0,63.0
"Montgomery County, MD",11311264.0,126.0,234.0,257.0,829.0
"Montgomery County, MS",113335.0,19.0,23.0,13.0,19.0
"Montgomery County, NC",302182.0,17.0,20.0,31.0,44.0
"Montgomery County, NY",545774.0,,11.0,34.0,69.0
"Montgomery County, OH",5866709.0,479.0,580.0,471.0,920.0
"Montgomery County, PA",9002229.0,98.0,175.0,468.0,1185.0
"Montgomery County, TN",2126087.0,134.0,164.0,241.0,377.0
"Montgomery County, TX",5919974.0,146.0,205.0,559.0,935.0
"Montgomery County, VA",1068104.0,,13.0,69.0,127.0
"Montour County, PA",201785.0,,14.0,22.0,37.0
"Montrose County, CO",457093.0,,21.0,76.0,115.0
"Moore County, NC",1042871.0,37.0,45.0,106.0,174.0
"Morehouse Parish, LA",289569.0,35.0,44.0,28.0,36.0
"Morgan County, AL",1315278.0,76.0,96.0,165.0,253.0
"Morgan County, CO",312931.0,,10.0,34.0,55.0
"Morgan County, GA",201840.0,10.0,14.0,16.0,25.0
"Morgan County, IN",767560.0,13.0,15.0,87.0,149.0
"Morgan County, MO",223919.0,,11.0,23.0,37.0
"Morgan County, TN",238432.0,13.0,17.0,28.0,44.0
"Morris County, NJ",5459160.0,20.0,36.0,102.0,432.0
"Morton County, ND",327995.0,,11.0,34.0,60.0
"Muhlenberg County, KY",341218.0,,14.0,51.0,67.0
"Multnomah County, OR",8623455.0,215.0,338.0,598.0,1486.0
"Murray County, GA",435965.0,,12.0,40.0,69.0
"Muscatine County, IA",470996.0,,10.0,33.0,70.0
"Muscogee County, GA",2164609.0,247.0,294.0,199.0,285.0
"Muskegon County, MI",1897952.0,86.0,119.0,134.0,284.0
"Muskingum County, OH",946235.0,15.0,27.0,98.0,170.0
"Muskogee County, OK",765089.0,52.0,66.0,84.0,149.0
"Nacogdoches County, TX",719373.0,26.0,35.0,68.0,107.0
"Napa County, CA",1534331.0,11.0,21.0,81.0,188.0
"Nash County, NC",1042202.0,82.0,107.0,82.0,133.0
"Nassau County, FL",881824.0,38.0,44.0,119.0,187.0
"Nassau County, NY",14902939.0,168.0,279.0,266.0,1010.0
"Natchitoches Parish, LA",428582.0,44.0,58.0,41.0,51.0
"Natrona County, WY",875586.0,29.0,43.0,139.0,245.0
"Navajo County, AZ",1198104.0,64.0,156.0,174.0,381.0
"Navarro County, TX",535920.0,19.0,24.0,60.0,102.0
"Nelson County, KY",495941.0,13.0,17.0,55.0,87.0
"Neshoba County, MS",323725.0,20.0,35.0,42.0,54.0
"Nevada County, CA",1089616.0,14.0,28.0,135.0,235.0
"New Castle County, DE",6082166.0,412.0,502.0,301.0,718.0
"New Hanover County, NC",2422054.0,110.0,147.0,177.0,365.0
"New Haven County, CT",9451072.0,285.0,401.0,290.0,996.0
"New London County, CT",2977239.0,27.0,63.0,133.0,395.0
"New Madrid County, MO",197634.0,12.0,19.0,25.0,40.0
"New York County, NY",17891713.0,245.0,462.0,89.0,1446.0
"Newaygo County, MI",532020.0,12.0,16.0,66.0,99.0
"Newberry County, SC",418093.0,17.0,27.0,50.0,78.0
"Newport County, RI",907501.0,,14.0,27.0,105.0
"Newport News city, VA",1986552.0,202.0,250.0,136.0,253.0
"Newton County, GA",1163528.0,95.0,109.0,118.0,168.0
"Newton County, MO",643592.0,12.0,21.0,63.0,111.0
"Newton County, MS",236158.0,16.0,26.0,21.0,35.0
"Newton County, TX",154073.0,11.0,13.0,25.0,35.0
"Nez Perce County, ID",440634.0,,15.0,84.0,115.0
"Niagara County, NY",2339226.0,40.0,78.0,140.0,334.0
"Nicholas County, WV",280148.0,13.0,17.0,47.0,65.0
"Noble County, IN",523790.0,,10.0,43.0,70.0
"Nome Census Area, AK",108577.0,,11.0,39.0,79.0
"Norfolk County, MA",7623285.0,54.0,95.0,104.0,628.0
"Norfolk city, VA",2688612.0,289.0,348.0,192.0,326.0
"Northampton County, NC",225257.0,16.0,20.0,24.0,30.0
"Northampton County, PA",3318419.0,47.0,71.0,217.0,492.0
"Northampton County, VA",132496.0,,11.0,16.0,22.0
"Northumberland County, PA",1021534.0,14.0,26.0,78.0,163.0
"Northwest Arctic Borough, AK",84513.0,,10.0,29.0,53.0
"Noxubee County, MS",120329.0,13.0,14.0,,
"Nueces County, TX",3909516.0,191.0,275.0,307.0,540.0
"Nye County, NV",484864.0,14.0,23.0,113.0,184.0
"Oakland County, MI",13610026.0,338.0,471.0,761.0,1721.0
"Obion County, TN",339078.0,,11.0,38.0,50.0
"Ocean County, NJ",6508356.0,36.0,85.0,201.0,648.0
"Oconee County, SC",840828.0,34.0,55.0,106.0,150.0
"Ogle County, IL",569797.0,,13.0,35.0,77.0
"Ohio County, KY",264741.0,,11.0,25.0,41.0
"Okaloosa County, FL",2178341.0,60.0,91.0,251.0,422.0
"Okanogan County, WA",458096.0,11.0,22.0,60.0,95.0
"Okeechobee County, FL",445472.0,11.0,23.0,41.0,78.0
"Okfuskee County, OK",133804.0,17.0,19.0,14.0,25.0
"Oklahoma County, OK",8456094.0,648.0,894.0,903.0,1570.0
"Okmulgee County, OK",430528.0,37.0,44.0,64.0,93.0
"Oktibbeha County, MS",540468.0,18.0,25.0,37.0,53.0
"Olmsted County, MN",1669932.0,13.0,27.0,82.0,178.0
"Oneida County, NY",2549793.0,55.0,89.0,127.0,294.0
"Onondaga County, NY",5119027.0,170.0,272.0,169.0,532.0
"Onslow County, NC",2080467.0,66.0,107.0,230.0,388.0
"Orange County, CA",34477212.0,433.0,704.0,1134.0,3517.0
"Orange County, FL",14125526.0,809.0,1033.0,673.0,1457.0
"Orange County, IN",216050.0,,10.0,23.0,38.0
"Orange County, NC",1559945.0,24.0,37.0,65.0,160.0
"Orange County, NY",4165096.0,75.0,121.0,143.0,354.0
"Orange County, TX",917808.0,37.0,61.0,97.0,160.0
"Orangeburg County, SC",979958.0,122.0,153.0,82.0,116.0
"Orleans County, NY",457413.0,,12.0,30.0,53.0
"Orleans County, VT",297409.0,,10.0,37.0,50.0
"Orleans Parish, LA",4181884.0,1477.0,1619.0,240.0,451.0
"Osage County, OK",522327.0,21.0,28.0,72.0,112.0
"Osceola County, FL",3582223.0,105.0,148.0,191.0,395.0
"Oswego County, NY",1317094.0,,17.0,72.0,194.0
"Otero County, CO",203460.0,,10.0,27.0,39.0
"Otero County, NM",724066.0,29.0,38.0,116.0,198.0
"Otsego County, NY",667466.0,,12.0,33.0,82.0
"Ottawa County, MI",3073740.0,16.0,36.0,121.0,294.0
"Ottawa County, OH",450187.0,,10.0,39.0,69.0
"Ottawa County, OK",348459.0,11.0,17.0,50.0,83.0
"Otter Tail County, MN",637504.0,,11.0,72.0,115.0
"Ouachita County, AR",269705.0,11.0,20.0,27.0,41.0
"Ouachita Parish, LA",1706358.0,155.0,209.0,163.0,239.0
"Outagamie County, WI",2013621.0,16.0,31.0,147.0,311.0
"Owen County, IN",231652.0,,12.0,27.0,45.0
"Page County, VA",262443.0,,10.0,37.0,64.0
"Palm Beach County, FL",15609807.0,807.0,994.0,1075.0,2382.0
"Palo Pinto County, TX",311969.0,,14.0,34.0,63.0
"Panola County, MS",377171.0,47.0,55.0,49.0,61.0
"Panola County, TX",259543.0,12.0,14.0,31.0,43.0
"Parker County, TX",1417990.0,23.0,38.0,163.0,257.0
"Pasco County, FL",5562287.0,126.0,194.0,605.0,1132.0
"Pasquotank County, NC",440987.0,27.0,33.0,33.0,57.0
"Passaic County, NJ",5557632.0,192.0,258.0,82.0,332.0
"Paulding County, GA",1700181.0,51.0,62.0,164.0,249.0
"Pawnee County, OK",181235.0,10.0,14.0,30.0,44.0
"Payne County, OK",882202.0,17.0,29.0,75.0,122.0
"Peach County, GA",300343.0,11.0,17.0,35.0,48.0
"Pearl River County, MS",609712.0,28.0,36.0,68.0,114.0
"Pemiscot County, MO",189112.0,25.0,30.0,23.0,34.0
"Pender County, NC",638947.0,18.0,26.0,79.0,124.0
"Pennington County, SD",1191758.0,21.0,56.0,140.0,261.0
"Penobscot County, ME",1679587.0,18.0,41.0,175.0,284.0
"Peoria County, IL",2028020.0,129.0,193.0,106.0,260.0
"Perquimans County, NC",148371.0,,12.0,11.0,20.0
"Perry County, AL",106306.0,10.0,12.0,,
"Perry County, KY",300078.0,22.0,32.0,40.0,48.0
"Perry County, OH",396503.0,,14.0,39.0,64.0
"Person County, NC",433612.0,22.0,26.0,63.0,81.0
"Petersburg city, VA",351426.0,113.0,133.0,28.0,53.0
"Pettis County, MO",465525.0,11.0,18.0,38.0,68.0
"Phelps County, MO",492682.0,,19.0,55.0,85.0
"Philadelphia County, PA",17186412.0,2989.0,3505.0,652.0,1773.0
"Phillips County, AR",214482.0,77.0,92.0,28.0,35.0
"Pickaway County, OH",628861.0,12.0,17.0,51.0,95.0
"Pickens County, AL",219291.0,,11.0,22.0,26.0
"Pickens County, SC",1346502.0,52.0,68.0,156.0,281.0
"Pierce County, GA",210258.0,,12.0,26.0,38.0
"Pierce County, WA",9358680.0,255.0,376.0,787.0,1706.0
"Pike County, AL",364741.0,32.0,42.0,43.0,57.0
"Pike County, KY",675085.0,20.0,32.0,89.0,114.0
"Pike County, MS",437921.0,60.0,72.0,44.0,52.0
"Pike County, OH",310621.0,18.0,24.0,32.0,55.0
"Pike County, PA",618918.0,,13.0,71.0,113.0
"Pima County, AZ",11159823.0,503.0,721.0,1273.0,2207.0
"Pinal County, AZ",4583511.0,166.0,243.0,421.0,735.0
"Pinellas County, FL",10430677.0,312.0,497.0,1035.0,2106.0
"Pitt County, NC",1937137.0,96.0,137.0,126.0,203.0
"Pittsburg County, OK",490016.0,22.0,43.0,73.0,126.0
"Pittsylvania County, VA",680258.0,17.0,35.0,98.0,136.0
"Placer County, CA",4142771.0,46.0,78.0,259.0,569.0
"Plaquemines Parish, LA",257615.0,,11.0,18.0,33.0
"Platte County, MO",1069904.0,29.0,39.0,93.0,165.0
"Plymouth County, MA",5603366.0,69.0,119.0,116.0,565.0
"Poinsett County, AR",264797.0,14.0,21.0,41.0,67.0
"Pointe Coupee Parish, LA",245013.0,21.0,25.0,30.0,43.0
"Polk County, AR",222601.0,,12.0,46.0,60.0
"Polk County, FL",7265454.0,242.0,367.0,535.0,1018.0
"Polk County, GA",459498.0,27.0,31.0,58.0,85.0
"Polk County, IA",5118520.0,119.0,185.0,296.0,726.0
"Polk County, OR",886432.0,,13.0,58.0,115.0
"Polk County, TN",184577.0,,11.0,33.0,45.0
"Polk County, TX",527092.0,26.0,41.0,78.0,125.0
"Pontotoc County, MS",342864.0,,10.0,37.0,60.0
"Pontotoc County, OK",418922.0,17.0,28.0,40.0,59.0
"Pope County, AR",696008.0,31.0,38.0,79.0,114.0
"Portage County, OH",1784687.0,22.0,33.0,123.0,237.0
"Portage County, WI",775473.0,,12.0,55.0,112.0
"Porter County, IN",1844041.0,25.0,41.0,155.0,300.0
"Portsmouth city, VA",1050047.0,136.0,170.0,90.0,148.0
"Pottawatomie County, OK",788111.0,28.0,53.0,107.0,164.0
"Pottawattamie County, IA",1026151.0,23.0,37.0,80.0,178.0
"Potter County, TX",1325140.0,76.0,115.0,144.0,271.0
"Powell County, KY",136645.0,,12.0,20.0,30.0
"Powhatan County, VA",315051.0,,10.0,32.0,50.0
"Preble County, OH",455968.0,,11.0,43.0,68.0
"Prentiss County, MS",278242.0,10.0,18.0,36.0,48.0
"Preston County, WV",370750.0,10.0,23.0,49.0,69.0
"Prince Edward County, VA",253380.0,,10.0,27.0,34.0
"Prince George County, VA",412444.0,12.0,14.0,35.0,65.0
"Prince George's County, MD",9868889.0,761.0,1039.0,274.0,607.0
"Prince William County, VA",4919804.0,74.0,117.0,207.0,442.0
"Providence County, RI",6958338.0,139.0,231.0,172.0,712.0
"Pueblo County, CO",1804751.0,92.0,134.0,240.0,455.0
"Pulaski County, AR",4299427.0,530.0,679.0,433.0,708.0
"Pulaski County, GA",125735.0,10.0,11.0,14.0,22.0
"Pulaski County, KY",705364.0,20.0,27.0,89.0,131.0
"Pulaski County, MO",581156.0,10.0,42.0,67.0,93.0
"Pulaski County, VA",377791.0,11.0,16.0,42.0,72.0
"Putnam County, FL",807651.0,47.0,63.0,112.0,172.0
"Putnam County, GA",237332.0,,10.0,28.0,44.0
"Putnam County, IN",414300.0,,12.0,56.0,89.0
"Putnam County, TN",834373.0,16.0,27.0,99.0,152.0
"Putnam County, WV",621490.0,,11.0,57.0,93.0
"Quay County, NM",93828.0,10.0,15.0,19.0,35.0
"Queen Anne's County, MD",541470.0,10.0,16.0,40.0,75.0
"Queens County, NY",25158467.0,431.0,782.0,194.0,1631.0
"Quitman County, MS",82343.0,,11.0,,
"Racine County, WI",2150785.0,43.0,63.0,151.0,324.0
"Raleigh County, WV",843749.0,46.0,68.0,121.0,181.0
"Ramsey County, MN",5878047.0,161.0,232.0,260.0,716.0
"Randall County, TX",1434947.0,21.0,40.0,160.0,285.0
"Randolph County, AL",250026.0,18.0,20.0,44.0,55.0
"Randolph County, IL",358687.0,,14.0,28.0,55.0
"Randolph County, MO",275060.0,,10.0,38.0,57.0
"Randolph County, NC",1573003.0,33.0,55.0,179.0,280.0
"Rankin County, MS",1641816.0,62.0,81.0,170.0,237.0
"Rapides Parish, LA",1446561.0,122.0,174.0,135.0,229.0
"Ravalli County, MT",461136.0,,14.0,97.0,147.0
"Reno County, KS",697121.0,,17.0,70.0,125.0
"Rensselaer County, NY",1754673.0,22.0,54.0,69.0,190.0
"Richland County, OH",1340920.0,31.0,49.0,112.0,186.0
"Richland County, SC",4445850.0,364.0,459.0,329.0,559.0
"Richland Parish, LA",225873.0,16.0,20.0,21.0,23.0
"Richmond County, GA",2219115.0,244.0,328.0,176.0,295.0
"Richmond County, NC",501237.0,32.0,51.0,40.0,68.0
"Richmond County, NY",5213505.0,83.0,161.0,69.0,354.0
"Richmond city, VA",2413959.0,386.0,449.0,125.0,265.0
"Riley County, KS",814107.0,10.0,18.0,47.0,90.0
"Rio Arriba County, NM",435971.0,37.0,58.0,51.0,97.0
"Ripley County, MO",151452.0,,13.0,19.0,29.0
"Riverside County, CA",25902347.0,738.0,1111.0,1103.0,2856.0
"Roane County, TN",586309.0,12.0,19.0,88.0,148.0
"Roanoke County, VA",1030264.0,23.0,30.0,108.0,175.0
"Roanoke city, VA",1086623.0,82.0,112.0,104.0,210.0
"Robertson County, TN",758794.0,28.0,41.0,88.0,149.0
"Robertson County, TX",185019.0,12.0,16.0,15.0,23.0
"Robeson County, NC",1467275.0,282.0,333.0,114.0,184.0
"Rock County, WI",1777712.0,38.0,56.0,121.0,295.0
"Rock Island County, IL",1597868.0,36.0,100.0,82.0,234.0
"Rockcastle County, KY",185335.0,11.0,13.0,21.0,24.0
"Rockdale County, GA",972425.0,64.0,79.0,63.0,113.0
"Rockingham County, NC",1010351.0,55.0,76.0,89.0,157.0
"Rockingham County, NH",3330648.0,13.0,32.0,224.0,508.0
"Rockingham County, VA",870308.0,10.0,16.0,84.0,133.0
"Rockland County, NY",3548765.0,20.0,56.0,64.0,230.0
"Rockwall County, TX",1012789.0,15.0,21.0,81.0,129.0
"Rogers County, OK",993447.0,24.0,33.0,103.0,173.0
"Rolette County, ND",158204.0,,13.0,22.0,36.0
"Roosevelt County, MT",121242.0,,18.0,17.0,47.0
"Roosevelt County, NM",212844.0,11.0,13.0,19.0,33.0
"Rosebud County, MT",101432.0,,10.0,22.0,37.0
"Ross County, OH",850311.0,12.0,25.0,83.0,148.0
"Rowan County, KY",264129.0,,10.0,23.0,29.0
"Rowan County, NC",1537144.0,81.0,117.0,160.0,274.0
"Rusk County, TX",590475.0,27.0,32.0,66.0,99.0
"Russell County, AL",633388.0,78.0,89.0,76.0,107.0
"Russell County, VA",304668.0,,11.0,42.0,58.0
"Rutherford County, NC",736520.0,18.0,27.0,83.0,138.0
"Rutherford County, TN",3296370.0,112.0,150.0,274.0,439.0
"Rutland County, VT",657268.0,,14.0,74.0,126.0
"Sabine Parish, LA",265418.0,13.0,21.0,43.0,54.0
"Sacramento County, CA",16447760.0,711.0,999.0,853.0,2169.0
"Saginaw County, MI",2137938.0,184.0,219.0,144.0,269.0
"Salem County, NJ",705491.0,33.0,51.0,46.0,100.0
"Salem city, VA",278642.0,,11.0,34.0,58.0
"Saline County, AR",1281924.0,27.0,42.0,152.0,222.0
"Saline County, KS",607051.0,14.0,31.0,56.0,106.0
"Salt Lake County, UT",12156849.0,222.0,354.0,1201.0,2553.0
"Saluda County, SC",221801.0,11.0,14.0,22.0,28.0
"Sampson County, NC",700131.0,48.0,58.0,42.0,65.0
"San Benito County, CA",651008.0,15.0,26.0,23.0,52.0
"San Bernardino County, CA",23349394.0,1056.0,1475.0,1086.0,2414.0
"San Diego County, CA",35856204.0,538.0,995.0,1677.0,4526.0
"San Francisco County, CA",9385361.0,301.0,474.0,175.0,971.0
"San Jacinto County, TX",304535.0,19.0,24.0,36.0,54.0
"San Joaquin County, CA",7992122.0,631.0,794.0,346.0,850.0
"San Juan County, NM",1370116.0,48.0,132.0,183.0,370.0
"San Luis Obispo County, CA",3068999.0,19.0,55.0,267.0,562.0
"San Mateo County, CA",8286693.0,128.0,183.0,226.0,719.0
"San Miguel County, NM",309852.0,13.0,31.0,39.0,74.0
"San Patricio County, TX",731101.0,22.0,33.0,68.0,110.0
"Sandoval County, NM",1540348.0,43.0,78.0,186.0,323.0
"Sandusky County, OH",656337.0,10.0,16.0,57.0,90.0
"Sangamon County, IL",2170287.0,84.0,124.0,131.0,312.0
"Santa Barbara County, CA",4835268.0,84.0,151.0,209.0,577.0
"Santa Clara County, CA",20733296.0,304.0,522.0,525.0,1716.0
"Santa Cruz County, AZ",514337.0,,20.0,25.0,47.0
"Santa Cruz County, CA",2976788.0,71.0,108.0,146.0,447.0
"Santa Fe County, NM",1630227.0,52.0,89.0,192.0,388.0
"Santa Rosa County, FL",1853116.0,43.0,68.0,227.0,383.0
"Sarasota County, FL",4476361.0,99.0,138.0,471.0,945.0
"Saratoga County, NY",2484903.0,,25.0,113.0,298.0
"Sarpy County, NE",1925443.0,20.0,34.0,95.0,190.0
"Schenectady County, NY",1706706.0,34.0,61.0,57.0,172.0
"Schuylkill County, PA",1590449.0,15.0,76.0,203.0,332.0
