County,Population,Firearm Homicide,Total Homicide,Firearm Suicides,Total Suicides,Poverty %,Poverty % (U18),MedHHInc,PopDen
"Monroe County, WI",501183.0,,11.0,35.0,68.0,11.4,15.1,"62,742",19.50088167
"Monroe County, WV",147626.0,,11.0,18.0,20.0,15.3,21.7,"47,344",10.99861625
"Montcalm County, MI",696423.0,,16.0,68.0,118.0,13.2,17.9,"55,735",34.60108249
"Monterey County, CA",4731485.0,339.0,426.0,171.0,446.0,12.1,15.5,"81,404",50.96841445
"Montezuma County, CO",285878.0,,12.0,58.0,110.0,15.2,23.5,"53,337",4.929472968
"Montgomery County, AL",2500794.0,424.0,488.0,187.0,266.0,21.7,33.5,"50,645",111.5782173
"Montgomery County, IN",421017.0,,14.0,42.0,70.0,11.7,15.5,"57,997",29.28470884
"Montgomery County, KS",367265.0,14.0,19.0,48.0,63.0,15.9,21.9,"49,251",19.7792301
"Montgomery County, MD",11311264.0,126.0,234.0,257.0,829.0,8.5,11.4,"112,352",814.4747962
"Montgomery County, MS",113335.0,19.0,23.0,13.0,19.0,21.2,32.7,"40,442",9.67483601
"Montgomery County, NC",302182.0,17.0,20.0,31.0,44.0,17.6,27.8,"52,897",21.47453903
"Montgomery County, NY",545774.0,,11.0,34.0,69.0,15.0,24.5,"55,523",47.3398751
"Montgomery County, OH",5866709.0,479.0,580.0,471.0,920.0,15.2,22.5,"56,636",445.1215694
"Montgomery County, PA",9002229.0,98.0,175.0,468.0,1185.0,7.0,7.8,"102,648",656.5915611
"Montgomery County, TN",2126087.0,134.0,164.0,241.0,377.0,10.8,14.5,"63,593",140.6349873
"Montgomery County, TX",5919974.0,146.0,205.0,559.0,935.0,10.5,14.7,"87,831",205.3210869
"Montgomery County, VA",1068104.0,,13.0,69.0,127.0,23.3,14.0,"57,752",97.80916474
"Montour County, PA",201785.0,,14.0,22.0,37.0,9.3,13.6,"68,053",54.23236423
"Montrose County, CO",457093.0,,21.0,76.0,115.0,12.5,18.7,"56,686",7.110239919
"Moore County, NC",1042871.0,37.0,45.0,106.0,174.0,9.2,13.1,"69,373",52.92208077
"Morehouse Parish, LA",289569.0,35.0,44.0,28.0,36.0,30.9,42.9,"36,998",12.62446152
"Morgan County, AL",1315278.0,76.0,96.0,165.0,253.0,13.5,17.0,"56,340",79.38223066
"Morgan County, CO",312931.0,,10.0,34.0,55.0,12.4,16.3,"61,849",8.520276893
"Morgan County, GA",201840.0,10.0,14.0,16.0,25.0,10.9,18.0,"67,187",20.26622642
"Morgan County, IN",767560.0,13.0,15.0,87.0,149.0,10.3,12.5,"69,203",66.66490505
"Morgan County, MO",223919.0,,11.0,23.0,37.0,17.6,25.0,"50,410",13.00961905
"Morgan County, TN",238432.0,13.0,17.0,28.0,44.0,18.1,22.9,"48,122",15.96817982
"Morris County, NJ",5459160.0,20.0,36.0,102.0,432.0,5.6,5.7,"122,525",414.4534852
"Morton County, ND",327995.0,,11.0,34.0,60.0,9.9,10.2,"71,415",6.122544916
"Muhlenberg County, KY",341218.0,,14.0,51.0,67.0,20.9,29.2,"45,883",25.67719612
"Multnomah County, OR",8623455.0,215.0,338.0,598.0,1486.0,12.4,12.7,"77,851",715.2753775
"Murray County, GA",435965.0,,12.0,40.0,69.0,15.7,23.2,"53,297",44.33472499
"Muscatine County, IA",470996.0,,10.0,33.0,70.0,11.1,13.3,"63,519",37.9089724
"Muscogee County, GA",2164609.0,247.0,294.0,199.0,285.0,20.4,29.2,"52,090",350.8393599
"Muskegon County, MI",1897952.0,86.0,119.0,134.0,284.0,14.4,19.1,"55,410",132.5934611
"Muskingum County, OH",946235.0,15.0,27.0,98.0,170.0,15.8,22.3,"52,806",50.01043464
"Muskogee County, OK",765089.0,52.0,66.0,84.0,149.0,19.2,27.1,"44,521",32.91482009
