County,Poverty %,Poverty % (U18),MedHHInc,MedHHInc_log,PopDen_log,PopDen,Firearms %,Firearms_adj,Homicide_log,Homicide_adj
"Alamance County, NC",12.5,17.6,58847,10.982696134328725,4.986475869286013,146.4195117,0.5688888888888889,0.7288638038263071,-0.6465100773252254,0.5238708590001583
"Alameda County, CA",9.4,9.9,108971,11.598837070766487,6.757812321644627,860.7570749,0.29683698296836986,0.2751746456788107,-0.3724205738164099,0.6890643791383335
"Alamosa County, CO",18.3,23.4,51009,10.839757366725596,2.1732386580626266,8.78669511,0.46938775510204084,1.288298885341399,-0.48427628853245425,0.6161429451632778
"Albany County, NY",11.9,16.1,74512,11.218715465222159,5.4250820277104,227.0299683,0.3018292682926829,0.29355460827361424,-1.195838635017225,0.3024502024637238
"Albemarle County, VA",7.0,8.2,91849,11.427901203267728,4.04298125608554,56.99600947,0.5985401459854015,0.7079670467240984,-1.5332011529426857,0.21584361180612754
"Alcorn County, MS",17.0,23.5,46712,10.751756369963374,3.580297258302095,35.88420614,0.6707317073170732,1.3459345435324173,-0.07265842582828916,0.9299184118951247
"Alexander County, IL",21.8,42.0,41816,10.641034320392757,2.371014500431608,10.7082503,,,0.5363538417876157,1.7097614225215036
"Alexander County, NC",12.6,18.3,52989,10.877839623823553,4.009606859747189,55.12519437,0.6753246753246753,1.2689426291515165,-0.6685373026422045,0.5124576002342663
"Alexandria city, VA",9.9,15.1,100877,11.521657231893675,8.305605911682404,4046.493213,0.3525641025641026,0.32775787393597877,-1.2941719211567677,0.27412476729190954
"Allegan County, MI",9.4,12.1,73873,11.210102681583889,3.9875205621190606,53.92102964,0.532258064516129,0.7844603942587008,-1.9475072856517928,0.14262916259249106
"Allegany County, MD",16.4,22.4,49236,10.804380342230186,4.18700157518693,65.82512308,0.55,0.8270832158499221,-1.1606288824184154,0.31328909691284923
"Allegany County, NY",14.6,20.3,55320,10.920889785778694,2.8700890235670458,17.63858838,0.6455696202531646,0.9780101137751765,-1.556165627643334,0.2109433578730773
"Allegheny County, PA",11.3,13.9,68874,11.140034027293552,6.474050961904127,648.1038604,0.45,0.6148243506975917,-0.22256906350764838,0.8004597222850289
"Allen County, IN",13.1,17.2,62680,11.045797696469958,5.38147691413329,217.3430355,0.47713717693836977,0.592363252943058,-0.11539619434019995,0.8910130596351833
"Allen County, KY",17.1,24.6,51485,10.849045782090851,3.149135148702157,23.31589108,0.5555555555555556,1.10158849060345,-0.3495338821415316,0.7050166339862081
"Allen County, OH",15.3,20.1,52518,10.868911246960494,4.599340273524743,99.41870485,0.477124183006536,0.6368521011321135,-0.47899739480142645,0.6194040983613708
"Allen Parish, LA",20.5,26.9,43192,10.673410571898122,2.5653746247149063,13.00552965,0.6491228070175439,1.312196332943221,-0.7742662318447374,0.4610419548178884
"Allendale County, SC",35.4,47.2,31262,10.350158581455416,2.1653368120332774,8.717537594,,,0.9586184891159325,2.608090877477686
"Amador County, CA",11.1,13.5,68159,11.12959849003407,3.2013367204780803,24.56534526,0.5546875,1.696259628065213,-0.556200438453981,0.5733835362473959
"Amelia County, VA",9.9,13.8,62884,11.049047038311404,2.6368806745623403,13.96955997,0.8181818181818182,1.9032580958960117,-0.1673630112993931,0.8458924870648941
"Amherst County, VA",12.4,17.4,57294,10.955951185178257,3.257017502610568,25.97196021,0.7169811320754716,1.081998394086594,-1.2561913705174752,0.2847364194964721
"Amite County, MS",22.0,30.4,41927,10.64368528978735,1.8860855551222835,6.593508175,,,0.20141803347317844,1.2231359767460266
"Anchorage Borough, AK",9.5,11.3,86152,11.363868457008717,4.204696975799387,67.00029188,0.6008708272859217,1.2754779807519898,-0.2218633475876148,0.801024818829752
"Anderson County, SC",15.9,21.7,58951,10.984461869350051,4.663515829847051,106.0081343,0.680952380952381,1.3328157410199208,-0.08549427923202992,0.9180583950381972
"Anderson County, TN",14.3,18.7,58633,10.979052956993057,4.463184365016992,86.76335586,0.5962732919254659,1.1485891496611662,-1.024616446979669,0.35893410926911445
"Anderson County, TX",20.4,24.5,54515,10.906231172140481,3.0456779741197235,21.02428029,0.36363636363636365,0.941659486513082,-0.4908944651330896,0.6120786662335033
"Androscoggin County, ME",14.0,19.1,61411,11.025344251183697,4.484734020067153,88.65336766,0.46859903381642515,0.8189392794516316,-1.6389621003154942,0.1941814786328611
"Angelina County, TX",18.4,26.4,50620,10.832102034099115,3.7471276287682582,42.39912091,0.6438356164383562,0.9774540856540936,-0.5407470509585103,0.5823130723045664
"Anne Arundel County, MD",6.2,7.9,107281,11.583206839314055,6.269928743554788,528.4397218,0.4,0.4941668129518861,-0.9903879337835426,0.37143257182658107
"Anoka County, MN",6.8,8.6,88416,11.389808227723144,5.7617135738423695,317.8925949,0.4342857142857143,0.600959637652968,-1.8114387492588295,0.1634188488354562
"Anson County, NC",21.2,30.5,40773,10.615775376623457,2.911513359281341,18.38460003,0.5945945945945946,0.7816608160538919,0.5338241859592345,1.7054417804812187
"Apache County, AZ",28.4,34.7,41002,10.62137612498452,0.9026637233053961,2.466163547,0.315018315018315,1.0849708824093418,0.35459367260206487,1.4256012757239027
"Appling County, GA",18.2,27.6,46530,10.747852544838695,2.64036273149307,14.01828756,0.6666666666666666,0.8883405305367057,-0.7061867940677489,0.4935225169648365
"Appomattox County, VA",11.5,16.1,58860,10.982917021787463,2.8901018486961756,17.99514229,0.6666666666666666,1.176186919625267,-0.06086576920865338,0.9409495357002134
"Aransas County, TX",15.1,27.8,55435,10.922966442206452,3.6358279742342234,37.93324765,0.7777777777777778,2.355694986108878,-0.6472416019702838,0.5234877746908617
"Arapahoe County, CO",8.7,11.5,84308,11.342232038656938,5.730332598077827,308.0717154,0.4667788057190917,0.8096444260503605,-0.7680768388466588,0.4639043738450714
"Arkansas County, AR",17.7,25.1,50928,10.838168149521874,1.9568833588524823,7.077235454,0.7333333333333333,1.0922125246988967,0.13265724064522696,1.1418585485488466
"Arlington County, VA",7.9,9.5,124474,11.731852137736398,8.143992693876413,3442.635855,0.32978723404255317,0.2474900714567705,-2.1562233681628307,0.11576148503623135
"Armstrong County, PA",11.8,15.7,54089,10.898386116988897,3.6689087882400657,39.20909708,0.6428571428571429,1.1018159559273617,-1.5894392659274104,0.20403999183840033
"Aroostook County, ME",14.9,18.9,51770,10.854566109895947,1.373994257040699,3.951100932,0.5984848484848485,1.0409364738869884,-1.4961137447639514,0.22399898805163046
"Ascension Parish, LA",11.4,14.7,75498,11.231861444820023,5.083279598801671,161.3021959,0.6907894736842105,0.8046969779413399,-0.5807904063559397,0.5594559941877887
"Ashland County, OH",10.9,14.9,59117,10.987273810085565,3.8880728492687737,48.81671864,0.49206349206349204,0.5286349622111265,-1.7688592493417223,0.17052740716487955
"Ashley County, AR",21.3,31.2,44030,10.6926264987498,2.148150990322994,8.568999577,0.8055555555555556,1.2721809128994757,-0.03552069470131665,0.9651027615099471
"Ashtabula County, OH",15.7,22.0,48916,10.797859820309261,3.9884192669210874,53.96951051,0.5533980582524272,1.0476650853663243,-0.24698323211244433,0.7811537917205049
"Assumption Parish, LA",19.0,27.2,42404,10.654997976392988,3.2541955702849075,25.89877241,0.7142857142857143,0.8009739843649878,-0.7327524351523047,0.4805843906189927
"Atascosa County, TX",16.4,23.8,57905,10.966559015618477,2.738176092356569,15.45876401,0.5925925925925926,0.9036093546158437,-0.3616412400983678,0.6965322108497128
"Athens County, OH",20.9,23.3,49023,10.800044854719895,3.922951451038402,50.54941896,0.620253164556962,0.6819583059042279,-1.5020183339161317,0.22268026315240097
"Atkinson County, GA",23.8,38.7,40303,10.604181186851473,2.2312223689806863,9.311240898,,,0.3517092713454014,1.4214951942527856
"Atlantic County, NJ",15.1,22.6,65693,11.092747653895325,5.22920580551776,186.6445126,0.3010471204188482,0.3855758424329232,-0.41474576712576866,0.6605081822546597
"Atoka County, OK",17.1,20.3,44489,10.702997246586362,1.7031488386593139,5.491211135,0.5555555555555556,0.9798349957867095,-0.33052602144367066,0.7185456635769203
"Attala County, MS",22.3,32.0,40592,10.611326281839062,2.2784298670006287,9.761341766,0.8571428571428571,0.8667848062254411,0.1447175343965882,1.1557130749672548
"Augusta County, VA",8.5,11.4,69243,11.14537733590786,3.395321127247764,29.82422931,0.6820809248554913,1.4377181706863884,-1.6350386491402846,0.19494483670323912
"Austin County, TX",10.4,16.5,68150,11.129466437124679,2.8711328699690832,17.65700997,0.6714285714285714,1.4561858464932256,-0.6411136742026021,0.5267055189443582
"Autauga County, AL",10.7,16.1,66444,11.104114766610968,3.5794389318148623,35.85341899,0.6782608695652174,1.2789506046320969,-0.644933022342229,0.5246976839516294
"Avoyelles Parish, LA",30.5,45.0,38567,10.560152267518658,2.9429176172188476,18.9711161,0.7878787878787878,1.7263664854719618,-0.07302030602938728,0.9295819537156719
"Bacon County, GA",23.4,35.7,43154,10.67253039209933,2.725240116275858,15.26007768,0.7222222222222222,1.0537493211422644,-0.027688121570170025,0.9726916810543977
"Baker County, FL",16.1,22.3,60994,11.018530777661985,2.9085932191412187,18.33099273,0.7,0.9143394550536847,-0.9368512418393387,0.3918597664515792
"Baldwin County, AL",10.8,16.4,65658,11.092214730646498,3.922794851418597,50.54150356,0.6328828828828829,1.2484083903706396,-1.196977511866474,0.3021059450007242
"Baldwin County, GA",24.4,31.6,44685,10.707393153815492,4.21343439091167,67.58826619,0.7377049180327869,0.902214033237565,-0.03836497852707989,0.9623616354534027
"Baltimore County, MD",9.8,14.2,80159,11.291767441190977,6.280473323598632,534.0413784,0.434560327198364,0.469156803794761,-0.28387774104540503,0.7528586827953576
"Baltimore city, MD",22.9,33.8,54068,10.897997792603718,7.983453965024506,2932.040761,0.3553299492385787,0.3117128323266988,1.3531749589974345,3.8696921613128747
"Bamberg County, SC",25.9,34.4,37906,10.542864689886246,2.6623812366173563,14.33037251,0.8235294117647058,0.8522087424442565,0.09139064898862871,1.0956969545711868
"Bannock County, ID",12.9,14.3,60058,11.003066040949562,3.38516593531583,29.5228912,0.6031746031746031,1.6273096823855504,-1.3180765463417325,0.26764961881341287
"Barbour County, AL",23.0,35.1,38649,10.562276180459634,2.4201886645477106,11.24798121,0.7317073170731707,1.0430429038314444,0.00824075852228619,1.0082748070370628
"Barnstable County, MA",8.0,11.3,82980,11.326354893886858,5.343696394640503,209.2848818,0.21893491124260356,0.3137449101248026,-2.2851862742337494,0.10175510598642248
"Barnwell County, SC",23.0,32.5,42265,10.651714599363029,2.720763373178347,15.19191492,0.7777777777777778,0.8801156723455082,0.5889757436691746,1.8021416148027074
"Barren County, KY",19.3,26.3,49245,10.804563118603802,3.5435296064354573,34.5887888,0.6634615384615384,1.4455196224051352,-1.5630525543991327,0.20949559745001958
"Barron County, WI",9.2,12.9,60371,11.008264136172082,3.0079030423597026,20.24490268,0.6081081081081081,0.8993866183263014,-1.3477554155102935,0.2598228008498204
"Barrow County, GA",9.6,13.3,67646,11.122043503986808,5.216808569106577,184.3449202,0.5782312925170068,1.017555830894192,-0.8988872243871988,0.4070223323576769
"Barry County, MI",8.9,12.1,68380,11.132835663193292,3.7358670205321975,41.92435909,0.6,1.0458808211225485,-1.4811968820850652,0.2273653958962062
"Bartholomew County, IN",8.1,11.4,72458,11.190762362632867,4.352914964214022,77.70463936,0.5902777777777778,0.9559369306552105,-1.396672143356973,0.24741897028723092
"Barton County, KS",14.2,21.6,54236,10.9011001735822,2.4470569869821657,11.5542922,0.6029411764705882,1.385753106114889,-0.9894330431222336,0.3717874187137507
"Bartow County, GA",11.6,17.3,67604,11.121422431878118,4.466647086240425,87.06431394,0.645,1.1321470070947879,-0.7654046545355541,0.46514566958157955
"Bastrop County, TX",11.5,18.1,72809,11.195594852917294,3.5806610847908282,35.89726414,0.673202614379085,1.153074566981318,-0.663655680401391,0.5149653405935983
"Baxter County, AR",13.4,18.7,45116,10.716992229759807,3.357429074285633,28.71527107,0.6621621621621622,2.1530228000720606,-0.7735722327129323,0.4613620285868701
"Bay County, FL",13.9,23.8,60106,11.003864949150904,4.531370162782455,92.88574252,0.5932584269662922,1.3572783279153593,-0.41065523364599155,0.6632155465950051
"Bay County, MI",12.6,16.6,56681,10.945194336556535,4.516168611432092,91.48441331,0.5080213903743316,0.8197372008822098,-1.5337725435520377,0.21572031602163413
"Beaufort County, NC",20.1,32.0,50312,10.82599889622334,3.0876063284552133,21.92453498,0.631578947368421,1.1507104678213407,-0.45745745103363483,0.6328907573017374
"Beaufort County, SC",11.3,19.4,72661,11.193560068411013,4.807305768706072,122.4013952,0.6126482213438735,0.7873091854600756,-0.5118747342740128,0.5993708637696059
"Beauregard Parish, LA",15.9,20.4,59550,10.994571574783446,2.5068580672702545,12.26632947,0.74,0.917256065665618,-0.4784106906630665,0.6197676119362284
"Beaver County, PA",11.1,17.0,64593,11.075861324766292,4.998784234208262,148.2328331,0.5724381625441696,0.8783387036696666,-1.0901849426458539,0.33615431868839096
"Becker County, MN",11.3,15.2,67261,11.116335852861406,2.294107037026131,9.915577814,0.59375,1.029140938143213,-1.1239550963399048,0.3249918752031199
"Beckham County, OK",18.4,23.0,46744,10.752441184234273,2.2705691116851288,9.684911042,0.6031746031746031,1.532678315021861,-0.571512092409367,0.5646709581659487
"Bedford County, PA",11.6,15.4,52984,10.877745260164815,2.9199693506474835,18.54071919,0.696078431372549,1.3243847207040502,-1.209143164945439,0.2984528948065466
"Bedford County, TN",13.4,20.3,55420,10.922695818416969,3.657606261309335,38.76843022,0.6236559139784946,1.114565838172727,-1.2439278631660258,0.2882497857343259
"Bedford County, VA",8.8,12.0,66026,11.097803882828751,3.678203407645381,39.57522961,0.6644295302013423,1.199806576636736,-1.3684370547451468,0.2545044253471865
"Bee County, TX",27.1,30.9,45431,10.72394997039761,2.66300792551591,14.33935601,0.3709677419354839,0.6424634843308743,-0.48689706012495904,0.6145302893599668
"Belknap County, NH",7.6,11.4,75781,11.23560288057948,4.0649925166932475,58.26447251,0.5378787878787878,1.0641438962354786,-1.8026139816448898,0.16486736420549666
"Bell County, KY",32.1,39.4,31033,10.342806433400801,3.375382531540407,29.23546513,0.7321428571428571,1.3635169425294238,-0.8385553602523104,0.4323346403142075
"Bell County, TX",14.3,19.7,58878,10.983222785434549,4.833830421180881,125.6914911,0.6254071661237784,1.0333333423032407,-0.312050654788183,0.731944450798129
"Belmont County, OH",15.9,21.2,50602,10.831746380186138,3.9056473768328335,49.68223263,0.6212121212121212,1.085297788507226,-1.2803424007518487,0.2779421165689237
"Beltrami County, MN",15.3,21.0,60386,11.008512568976428,1.9613575402377936,7.108971232,0.43010752688172044,0.7902280400566594,-0.5570173410027547,0.572915329041078
"Ben Hill County, GA",22.1,34.4,39863,10.593203854356613,3.276383988227544,26.47984793,0.6666666666666666,0.8440287602800065,-0.10894408698917905,0.896780557797507
"Benton County, AR",7.9,10.9,78974,11.276873963355234,4.77049355367043,117.9774558,0.541860465116279,0.8394681158840698,-1.531680674417341,0.21617204700877335
"Benton County, MO",15.6,26.9,51574,10.850772948512507,2.343123801632644,10.41371619,0.59375,1.8112315421206662,-0.2103657917549625,0.8102877951592454
"Benton County, MS",19.7,30.5,41019,10.621790652977191,2.05880875324273,7.836628889,,,0.3381983408669956,1.4024186327497115
"Benton County, OR",17.3,11.4,65419,11.088568015130239,3.938482402481606,51.34062774,0.5338345864661654,0.7266065936989904,-2.1841546887489183,0.11257285254491402
"Benton County, TN",18.3,29.1,45165,10.718077729583944,2.7585385631519634,15.77676934,0.6444444444444445,1.6262989361761786,-0.48309371537355555,0.6168720102737228
"Benton County, WA",10.6,13.4,77339,11.255953635157862,3.7864508409162263,44.09960568,0.5501519756838906,0.8602318158400519,-1.3600663574567131,0.25664374616222546
"Bergen County, NJ",7.5,9.1,104777,11.559589561134114,7.341169240985773,1542.514631,0.19382716049382717,0.1536314912852292,-2.077413999323058,0.12525369990133334
"Berkeley County, SC",10.2,14.2,74289,11.215718171293377,4.292408003248402,73.14238371,0.6080691642651297,0.9336365808546978,-0.416579843730147,0.6592978698926539
"Berkeley County, WV",9.9,12.7,70893,11.168926977039543,4.915957085556018,136.4498415,0.5707964601769911,1.0445470997623452,-0.9660814085352252,0.3805714239444204
"Berks County, PA",12.9,18.1,68693,11.13740258073377,5.235626877014336,187.8468263,0.5049645390070922,0.7781092513474295,-0.9273220383523044,0.3956117261064178
"Berkshire County, MA",10.9,15.4,60945,11.017727097089937,3.9710494352393506,53.04016386,0.2978723404255319,0.39803824010235267,-1.614354378213918,0.19901912005117633
"Bernalillo County, NM",15.2,18.2,59723,10.997472484818747,5.417537411877938,225.3235596,0.5244279529993816,1.1418318025201897,-0.13481410195851548,0.8738783488627396
"Berrien County, MI",16.1,24.3,57554,10.960478916513138,4.656552519011585,105.2725308,0.5381526104417671,0.7864874414389669,-0.8613522052016226,0.42259026704183295
"Bertie County, NC",20.7,30.8,41280,10.628133400155445,2.383970857439855,10.84789289,0.5416666666666666,0.5930088814484014,-0.09176298685672511,0.9123213560744637
"Bethel Census Area, AK",24.6,26.8,54849,10.912339233996615,-1.7635456740156932,0.171435929,0.5161290322580645,2.438652644413961,0.4214420626313052,1.5241579027587258
"Bexar County, TX",14.8,20.8,63014,11.051112202908191,6.396192902046836,599.5581109,0.5274633123689727,0.606804809463531,-0.347216021403215,0.7066526596693744
"Bibb County, AL",20.6,29.0,48454,10.788370173250604,2.637135054656599,13.973114,0.7631578947368421,1.1687892955021764,-0.1668049693874481,0.8463646622601967
"Bibb County, GA",24.5,39.0,47859,10.776014466969107,5.470685665688706,237.6230669,0.6798029556650246,0.8139662451737111,0.4578969136686765,1.5807460413518446
"Big Horn County, MT",25.7,32.9,47179,10.76170415731525,0.032808900382948626,1.033353047,0.7,1.4481959616021185,0.5038500100295655,1.6550810989738498
"Bingham County, ID",11.3,13.4,63576,11.059991319620016,2.1282041991614387,8.399768947,0.5714285714285714,1.1905730426483108,-1.1473211003221664,0.31748614470621617
"Black Hawk County, IA",13.5,13.5,60716,11.01396253374675,4.508154536546836,90.75418035,0.3641025641025641,0.48853289443354614,-0.8846837869529479,0.4128446995213066
"Bladen County, NC",21.6,30.6,42398,10.654856470296197,2.7018430901185506,14.9071817,0.6829268292682927,0.7468797763628555,0.06482389518620511,1.0669711090897935
"Blair County, PA",11.9,16.3,55843,10.93029946092149,4.510185172721397,90.93865631,0.5759162303664922,0.8013953020750311,-1.786387092807995,0.16756447225205193
"Blount County, AL",12.0,16.7,56894,10.948945166399717,3.5414176659391368,34.51581642,0.680327868852459,1.3063645134736546,-0.5140063493644993,0.598094596530107
"Blount County, TN",9.7,13.9,62724,11.046499428500923,4.4857653717970365,88.74484763,0.6347826086956522,1.0372515391818218,-1.3361142449280612,0.2628651160940233
"Blue Earth County, MN",13.2,12.1,68620,11.13633931641244,3.533518421813886,34.24424159,0.422680412371134,0.5640212237059496,-1.8013288144240942,0.16507938254808283
"Bolivar County, MS",34.2,46.6,35599,10.480072826557953,2.664048483700401,14.35428471,0.8787878787878788,0.8061288027041452,0.6512989302116953,1.918030599537449
"Bonner County, ID",11.8,17.8,61940,11.033921453527194,2.2528270998492075,9.514596564,0.6695652173913044,1.6394035977457135,-1.2845235486074913,0.2767824255934322
"Bonneville County, ID",9.8,11.8,69880,11.154534764247993,3.146596416917632,23.25677336,0.5863309352517986,1.3275821064737139,-1.5522943401129752,0.21176156299580712
"Boone County, AR",13.0,19.7,48700,10.793434309070681,3.1946669550154425,24.40204536,0.6914893617021277,1.5841410421698345,-0.6233024853351852,0.5361708142728671
"Boone County, IL",10.1,14.3,71557,11.178249613881933,4.300254083088962,73.71852195,0.4107142857142857,0.38930461732202437,-1.5939807300017583,0.20311545251583876
"Boone County, IN",5.5,5.8,98047,11.493202234522036,4.07282417030268,58.72257117,0.5607476635514018,0.8651541848949847,-1.4059787576669984,0.245127019053579
"Boone County, KY",6.4,8.3,85284,11.353742142614896,5.310163990379855,202.3834146,0.5677083333333334,0.7773471068780956,-1.685119645576114,0.1854222456773439
"Boone County, MO",16.6,13.5,62805,11.047789967121354,4.599289294091897,99.41363667,0.5819672131147541,0.7420599584446423,-0.8233354913082079,0.4389650458404926
"Boone County, WV",24.7,28.2,41227,10.626848660502082,2.865936259707386,17.56549137,0.7222222222222222,1.5324827399219612,-0.5286223189562946,0.5894164384315236
"Bossier Parish, LA",15.2,19.9,61225,11.022310881820369,4.0596582035280075,57.95449905,0.6887755102040817,0.986726698631739,-0.4759857009232832,0.6212723658051689
"Boulder County, CO",10.7,8.6,90327,11.41119169803475,5.1395767601891755,170.6435299,0.45141065830721006,0.8308808404359701,-2.041566877751243,0.12982513131812035
"Bourbon County, KY",15.1,20.3,58304,10.97342598061963,3.2900029201052465,26.84294204,0.6296296296296297,0.7728010400992823,-0.7883619012627405,0.45458884711722486
"Bowie County, TX",17.8,23.6,52934,10.876801133506191,3.712295594066961,40.94769801,0.6157894736842106,1.1385985895001747,-0.25034910139168154,0.7785289500855895
"Boyd County, KY",21.0,26.6,48979,10.79914691380121,4.754853665000749,116.1466556,0.673469387755102,1.2434061793519215,-1.1992114872242257,0.3014318010550113
"Boyle County, KY",15.5,20.9,52940,10.876914475781092,4.1594967520577635,64.03928685,0.734375,1.4477708948764312,-1.1775374490412935,0.3080363606120066
"Bradford County, FL",19.1,24.8,54911,10.913468971726102,3.567704978771786,35.43517528,0.5283018867924528,0.9247210975118397,-0.5772542692572659,0.561437809203617
"Bradford County, PA",13.7,18.7,55199,10.918700116159062,3.02667819582384,20.6285945,0.5615384615384615,1.07874546335812,-1.4420719609637183,0.2364373618319167
"Bradley County, AR",19.6,26.8,40454,10.607920805113041,1.8734619324373176,6.510797369,0.6842105263157895,1.0652507026557518,-0.016832534660049907,0.9833083409130018
"Bradley County, TN",11.7,15.2,56273,10.937970125383274,4.810500903389589,122.7931096,0.6107784431137725,0.8923697140217529,-0.9546579340373902,0.384943798205462
"Brazoria County, TX",9.0,11.8,82165,11.31648469961539,4.608463042580233,100.3298284,0.621676891615542,0.7970174767055912,-0.8319185853696075,0.4352134905695004
"Brazos County, TX",22.6,23.5,50494,10.829609796323572,4.973565778683723,144.5413721,0.5801886792452831,0.5228987123938048,-1.1430637420601517,0.3188406782889054
"Breathitt County, KY",31.0,42.6,33005,10.404414344122872,2.330610089459588,10.28421391,0.7419354838709677,1.5761089296849837,0.15267823499464833,1.164950078462814
"Breckinridge County, KY",16.9,23.9,50012,10.82001825561489,2.610530610078798,13.60626856,0.7631578947368421,1.3074488516992326,-0.5342686754924574,0.5860977611065525
"Brevard County, FL",11.3,17.3,65280,11.086440989637989,5.390789264967111,219.3764634,0.5500359971202304,1.2154791589075133,-0.596990645588281,0.5504656923848162
"Bristol County, MA",11.9,15.3,72857,11.196253894858959,5.9665325692970415,390.1505028,0.2328966521106259,0.261103167409886,-1.57382640110371,0.20725063913159697
"Bronx County, NY",26.4,34.3,43143,10.67227545855449,9.488162643451842,13202.5153,0.10965435041716329,0.05868739267224112,-0.30114364376496094,0.7399714728239097
"Brooke County, WV",13.0,18.8,52217,10.863163391349689,4.590721571873855,98.56552662,0.68,1.3405935675166292,-0.930662954904178,0.3942922257401851
"Brooks County, GA",23.5,36.0,40936,10.619765150484927,2.5040813961846875,12.23231715,0.7692307692307693,1.1646324420013043,-0.4454314639467523,0.6405478431007174
"Broome County, NY",14.1,17.6,55729,10.928255936745675,4.666675561474176,106.3436213,0.37109375,0.44192603460699514,-1.276145082804311,0.2791111797517864
"Broomfield County, CO",4.9,5.3,106413,11.575083028877385,6.650958206781791,773.5251676,0.49572649572649574,0.8226355256570093,-1.2599527740733214,0.283667422640348
"Broward County, FL",12.8,16.5,65536,11.090354888959125,6.4178553718727445,612.6877168,0.45933384972889235,0.5741803212814853,-0.5761163812826652,0.5620770261448603
"Brown County, OH",16.8,22.6,58990,10.98512321699712,3.538529037048886,34.4162569,0.5591397849462365,1.0745666603294786,-1.1067375227016072,0.3306358954859934
"Brown County, TX",15.3,22.3,48803,10.79554706536154,2.7387049714832488,15.46694199,0.6666666666666666,1.2944673506568223,-1.1659353907974297,0.3116310288618276
"Brown County, WI",9.3,10.7,67232,11.115904603644728,5.242908759549831,189.2196973,0.42789598108747046,0.6379061453270026,-1.6968174267810623,0.1832658539061002
"Brunswick County, NC",9.8,18.4,67286,11.116707470218728,4.0549063553121005,57.67976134,0.5887850467289719,0.9176049055449553,-0.9519783605202962,0.38597666661811614
"Bryan County, GA",8.1,11.2,87334,11.377495127633775,3.4552292485179974,31.66554713,0.6956521739130435,1.2377354598316164,-0.7134785638088882,0.4899369528500149
"Bryan County, OK",16.5,21.4,47916,10.777204756851221,2.972098758147149,19.53287138,0.5816326530612245,1.1432124269196442,-0.6903332250983095,0.5014089591752825
"Buchanan County, MO",18.6,22.8,51811,10.855357760915753,4.433726269012921,84.24475137,0.4294117647058823,0.7469880011215053,-0.39251085585597506,0.6753590147125939
"Buchanan County, VA",23.9,34.2,38087,10.547628295541239,2.833096894335034,16.99802047,0.7166666666666667,1.7370438744965602,-0.31864361207990277,0.727134645138095
"Bucks County, PA",6.5,8.2,99755,11.510472458809161,5.991760774978173,400.1185087,0.41527196652719667,0.5754143563128028,-1.7408106131224839,0.17537817912808346
"Bullitt County, KY",11.1,13.7,68630,11.13648503590268,4.637594710162171,103.2955927,0.6369426751592356,1.1585351018757841,-1.1621769561344595,0.3128044775064618
"Bulloch County, GA",21.3,25.3,53105,10.88002636475564,3.754565835582698,42.71567016,0.6923076923076923,0.7679574039626602,-0.7182762832405093,0.48759200251597473
"Bullock County, AL",32.1,41.7,32027,10.374334576024932,1.8590472623391585,6.41761955,,,0.19744969797241027,1.218291780881521
"Buncombe County, NC",11.7,17.0,63838,11.064103903312146,5.008382799801334,149.6625061,0.4821092278719397,0.9230806952816875,-0.9067171943111929,0.40384780418573824
